sample_no,sample_group,group_label,call_order,egpack,xml,scene,id,speaker_id,speaker_jp,jp,hit_terms,has_ruby_attr,cn_final,review_status,uncertain_for_user
1,opening_daily,??????,220,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00219,game_s00001,ウィル,「お、\wおい――！」,ウィル=>威尔,no,「喂，\w喂――！」,auto_fixed,
2,opening_daily,??????,221,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00220,game_s00005,ダリル,「ああそのまま座ってな。無理するんじゃないよ」,ダリル=>达里尔,no,「啊，就那样坐着。别勉强」,auto_fixed,
3,opening_daily,??????,222,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00221,game_s00005,ダリル,「強化装備のバッテリーは流石に切れてるねえ…\w…\wお嬢ちゃん、\w何日目だい？　水は？」,バッテリー=>电池; ダリル=>达里尔,no,「强化装备的电池果然已经没电了啊…\w…\w小姑娘，\w第几天了？水呢？」,auto_fixed,
4,opening_daily,??????,223,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00222,game_s00011,リリア,「漂流してからは…\w…\w５日目で…\w…\w水分は十分取ってると…\w…\w思います…\w…\w」,リリア=>莉莉娅,no,「从漂流之后…\w…\w第5天…\w…\w水分应该有充分摄取…\w…\w我想…\w…\w」,auto_fixed,
5,opening_daily,??????,224,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00223,,,５日目か…\w…\w水が取れてるなら、\w確かにまだ命の危険は無いレベルだ。よかった…\w…\w。,まだ=>还,no,第5天吗…\w…\w能摄入水分的话，\w确实还没到生命危险的程度。太好了…\w…\w。,auto_fixed,
6,opening_daily,??????,225,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00224,game_s00005,ダリル,「ちょっと待ってな、\w今こっちの服と繋ぐからね」,ダリル=>达里尔,no,「稍等一下，\w现在把这边的服装接上」,auto_fixed,
7,opening_daily,??????,226,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00225,game_s00011,リリア,「すみま…\w…\wせん…\w…\w」,リリア=>莉莉娅,no,「对不…\w…\w起…\w…\w」,auto_fixed,
8,opening_daily,??????,227,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00226,game_s00005,ダリル,「いいんだよ、\wこの広い海のど真ん中で海兵隊のお仲間に出会えたんだ、\w感謝ならマリア様にしときな」,海兵隊=>海军陆战队; ダリル=>达里尔,no,「没关系，\w在这片辽阔大海正中央遇上海军陆战队同伴，\w要感谢就感谢玛利亚大人吧」,auto_fixed,マリア様: 宗教称呼，暂用“玛利亚大人”
9,opening_daily,??????,228,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00227,,,寒いのか…\w…\w？　この日差しと気温でも軽く震えてる。熱があるのかもな。,,no,冷吗…\w…\w？这种日照和气温下还轻微发抖。也许是发烧了。,auto_fixed,
10,opening_daily,??????,229,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00228,game_s00001,ウィル,「中尉、\w毛布出しておきますか？」,ウィル=>威尔; 中尉=>中尉,no,「中尉，\w要把毛毯拿出来吗？」,auto_fixed,
