file,id,jp,zh_deepseek
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年01月01日_01：北米航空宇宙防衛司令部現在.egpack,tda03_t00000,「ＯＳＰ－１４００、\wこちら北米航空宇宙防衛司令部、\w聞こえるか？　こちら北米航空宇宙防衛司令部」,「OSP-1400，这里是北美防空司令部，能听到吗？这里是北美防空司令部」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年01月01日_01：北米航空宇宙防衛司令部現在.egpack,tda03_t00001,「ＯＳＰ－１４００、\wこちら北米航空宇宙防衛司令部聞こえないか？　――ダメか、\w届いていないな…\w…\w」,「OSP-1400，这里是北美防空司令部，听不到吗？——不行，传不过去啊……」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年01月01日_01：北米航空宇宙防衛司令部現在.egpack,tda03_t00002,"「北米航空宇宙防衛司令部、\wこちら""ＯＳＰ－１４００""。聞こえている、\wどうぞ」","「北美防空司令部，这里是""OSP-1400""。听到了，请讲」"
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年01月01日_01：北米航空宇宙防衛司令部現在.egpack,tda03_t00003,"「北米航空宇宙防衛司令部、\wこちら""ＯＳＰ－１４００""。繰り返す、\wこちら""ＯＳＰ－１４００""。北米航空宇宙防衛司令部、\w聞こえるか？」","「北美防空司令部，这里是""OSP-1400""。重复，这里是""OSP-1400""。北美防空司令部，能听到吗？」"
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年01月01日_01：北米航空宇宙防衛司令部現在.egpack,tda03_t00004,「――こちら北米航空宇宙防衛司令部、\w聞こえている。そちらの感明度はどうだ？」,「——这里是北美防空司令部，听到了。你那边信号清晰度如何？」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年01月01日_01：北米航空宇宙防衛司令部現在.egpack,tda03_t00005,「感度４。聞き取り可能だ。どうやら安定したみたいだな」,「清晰度4，能听清。看来已经稳定了」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年01月01日_01：北米航空宇宙防衛司令部現在.egpack,tda03_t00006,「――久しぶりね、\wいつ以来になる？」,「——好久不见，上次是什么时候来着？」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年01月01日_01：北米航空宇宙防衛司令部現在.egpack,tda03_t00007,「２週間だ。正確に言うなら３４１時間ぶりだ」,「两周。准确说是341小时前」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年01月01日_01：北米航空宇宙防衛司令部現在.egpack,tda03_t00008,「そう…\w…\w。ところでエリシャは？　彼女のローテーションだと思ってたのだけど」,「这样啊……话说艾丽莎呢？我记得应该是她的轮班才对」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年01月01日_01：北米航空宇宙防衛司令部現在.egpack,tda03_t00009,「ストレス状態が酷くてな。停滞睡眠させている」,「压力状态太严重了。让她强制休眠了」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年01月01日_01：北米航空宇宙防衛司令部現在.egpack,tda03_t00010,「大丈夫なの…\w…\w？」,「不要紧吗……？」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年01月01日_01：北米航空宇宙防衛司令部現在.egpack,tda03_t00011,「…\w…\wわからん。いずれにせよ暫くは使い物にならんと思う。拳銃咥えるところまで行っちまっちゃあな…\w…\w。１日でも早く地上に降ろしてやりたいところだが…\w…\w」,「……不知道。总之暂时没法用了。都已经到把枪塞进嘴里的地步了……真想尽早让她回到地面啊……」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年01月01日_01：北米航空宇宙防衛司令部現在.egpack,tda03_t00012,「…\w…\w…\w…\w」,「…………」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年01月01日_01：北米航空宇宙防衛司令部現在.egpack,tda03_t00013,「さて、\w観測データを更新した。確認してくれ。楽しい話はなんにもないが」,「好了，观测数据更新了。确认一下。虽然没什么好消息」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年01月01日_01：北米航空宇宙防衛司令部現在.egpack,tda03_t00014,「――了解。…\w…\wデータ受領中。ところで、\wエリシャ以外は大丈夫なの？」,「——了解。……正在接收数据。话说，除了艾丽莎以外其他人都还好吗？」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年01月01日_01：北米航空宇宙防衛司令部現在.egpack,tda03_t00015,「今のところは、\wな。だが時間の問題だろう…\w…\w酸素、\w食料、\w水、\w何もかも限界が近づいてる」,「目前还好。但只是时间问题吧……氧气、食物、水，什么都快到极限了」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年01月01日_01：北米航空宇宙防衛司令部現在.egpack,tda03_t00016,「データ受領完了。ファイルチェック開始――何とか頑張って。磁気嵐が収まるまでの辛抱よ」,「数据接收完成。开始文件核查——无论如何请撑住。只要熬到磁暴平息就行了」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年01月01日_01：北米航空宇宙防衛司令部現在.egpack,tda03_t00017,「いつ収まるとも知らんがね――いや、\wもしかしたらこのままずっと…\w…\wったく、\w補給の目処が立たないことがこれほどのストレスになるとは…\w…\w」,「谁知道什么时候平息啊——不，说不定就这么一直……真是，没想到补给遥遥无期会带来这么大的压力……」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年01月01日_01：北米航空宇宙防衛司令部現在.egpack,tda03_t00018,「安心して。こっちも似たり寄ったり。低酸素地帯に置き去りにされた陸の孤島なんだから」,「放心吧。我们这边也半斤八两。毕竟是被遗弃在低氧地带的陆上孤岛」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年01月01日_01：北米航空宇宙防衛司令部現在.egpack,tda03_t00019,「…\w…\wそうか」,「……这样啊」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年01月01日_01：北米航空宇宙防衛司令部現在.egpack,tda03_t00020,「酸素マスクを持たないで外に出たら、\w気を失って、\wあっという間に終わりよ。いざとなったらそっちと同じよ。全員冷凍睡眠処置するしかないわね」,「不戴氧气面罩出去的话，会失去意识，转眼就完蛋。逼急了跟你们一样。只能全员冷冻睡眠处理了」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年01月01日_01：北米航空宇宙防衛司令部現在.egpack,tda03_t00021,「あれはまだ完全な技術じゃない。蘇生できない可能性だって――」,「那还不是完全的技术。有可能无法复苏——」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年01月01日_01：北米航空宇宙防衛司令部現在.egpack,tda03_t00022,「冗談よ怒らないで。お詫びにいいニュースがあるわ。シアトルから入りたての情報よ」,「开玩笑啦，别生气。作为赔礼有个好消息。从西雅图刚传来的情报」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年01月01日_01：北米航空宇宙防衛司令部現在.egpack,tda03_t00023,「…\w…\wなんだ？」,「……什么？」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年01月01日_01：北米航空宇宙防衛司令部現在.egpack,tda03_t00024,「日本帝国がシアトル湾内に食料生産プラントを建設することになったみたい」,「日本帝国似乎要在西雅图湾内建设粮食生产平台了」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年01月01日_01：北米航空宇宙防衛司令部現在.egpack,tda03_t00025,「…\w…\w本当か？　そいつは…\w…\wおめでとう」,「……真的？那可真是……恭喜」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年01月01日_01：北米航空宇宙防衛司令部現在.egpack,tda03_t00026,「何言ってるの、\wこれで救援の派遣に大きく近づいたのよ。ゴタゴタの原因の殆どは食糧不足に端を発しているんだから」,「说什么呢，这样一来救援派遣就大大进了一步啊。纠纷的原因大部分是粮食短缺引发的」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年01月01日_01：北米航空宇宙防衛司令部現在.egpack,tda03_t00027,「こっちが落ち着かないことには、\wいつまで経っても後回しにされる。食料事情が好転すれば、\wそっちの救助だって目が向くでしょう？」,「这边不先稳定下来，救援就永远会被推迟。粮食情况好转的话，你们那边的救助也会得到关注吧？」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年01月01日_01：北米航空宇宙防衛司令部現在.egpack,tda03_t00028,「そうか…\w…\wそれもそうだ」,「是吗……也是啊」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年01月01日_01：北米航空宇宙防衛司令部現在.egpack,tda03_t00029,「ニュースデータはまとめて送信しておくわ。――読めば少しは気が紛れるかも」,「新闻数据我一起发过去。——读一读或许能稍微分分心」
