sample_no,sample_group,group_label,call_order,egpack,xml,scene,message_tag_index,order_in_message,text_attr,id,speaker_id,speaker_jp,jp,prev_context_jp,next_context_jp,hit_terms,hit_term_categories,has_ruby_attr,xml_attrs,deepseek_model,deepseek_prompt_mode,deepseek_cn_raw,codex_cn_review,review_status,review_note,uncertain_for_user
1,opening_daily,?????,220,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,200,1,text,game_t00219,game_s00001,ウィル,「お、\wおい――！」,217 ダリル: 「おやまあホントだ、\w海兵隊員でしかも衛士かい！　神のお導きも捨てたもんじゃないね」 || 218 ???: おっかさんも嬉しそうだ。そりゃそうだよな…\w…\w海兵隊員同士は兄弟みたいなもんだ。 || 219 リリア: 「ありがとう…\w…\wございます…\w…\w…\w…\w私は…\w…\w」,221 ダリル: 「ああそのまま座ってな。無理するんじゃないよ」 || 222 ダリル: 「強化装備のバッテリーは流石に切れてるねえ…\w…\wお嬢ちゃん、\w何日目だい？　水は？」 || 223 リリア: 「漂流してからは…\w…\w５日目で…\w…\w水分は十分取ってると…\w…\w思います…\w…\w」,ウィル=>威尔,ウィル:katakana_person,no,"__line__=""20630"" speaker=""$game_s00001"" text=""$game_t00219"" voice=""ウィル_A_Z0060""",deepseek-v4-pro,control-placeholders,"（遠くから走ってきて、息を切らしながらあなたの服の襟をぎゅっと掴む）
「はあ、はあ……やっと見つけたぞ！\w、どうしたんだよ、急にいなくなるなんて！それに連絡も取れないし、ずっと探してたんだぞ！」",「喂，\w喂――！」,auto_fixed,Codex按JP语义手动修正明显误译,
2,opening_daily,?????,221,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,201,1,text,game_t00220,game_s00005,ダリル,「ああそのまま座ってな。無理するんじゃないよ」,218 ???: おっかさんも嬉しそうだ。そりゃそうだよな…\w…\w海兵隊員同士は兄弟みたいなもんだ。 || 219 リリア: 「ありがとう…\w…\wございます…\w…\w…\w…\w私は…\w…\w」 || 220 ウィル: 「お、\wおい――！」,222 ダリル: 「強化装備のバッテリーは流石に切れてるねえ…\w…\wお嬢ちゃん、\w何日目だい？　水は？」 || 223 リリア: 「漂流してからは…\w…\w５日目で…\w…\w水分は十分取ってると…\w…\w思います…\w…\w」 || 224 ???: ５日目か…\w…\w水が取れてるなら、\w確かにまだ命の危険は無いレベルだ。よかった…\w…\w。,ダリル=>达里尔,ダリル:katakana_person,no,"__line__=""20640"" speaker=""$game_s00005"" text=""$game_t00220"" voice=""020_ダリル_A_D0058""",deepseek-v4-pro,control-placeholders,「おいおい、気にするなよ。それより、ゆっくりしてくれ」,「啊，就那样坐着。别勉强」,auto_fixed,Codex按JP语义手动修正明显误译,
3,opening_daily,?????,222,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,202,1,text,game_t00221,game_s00005,ダリル,「強化装備のバッテリーは流石に切れてるねえ…\w…\wお嬢ちゃん、\w何日目だい？　水は？」,219 リリア: 「ありがとう…\w…\wございます…\w…\w…\w…\w私は…\w…\w」 || 220 ウィル: 「お、\wおい――！」 || 221 ダリル: 「ああそのまま座ってな。無理するんじゃないよ」,223 リリア: 「漂流してからは…\w…\w５日目で…\w…\w水分は十分取ってると…\w…\w思います…\w…\w」 || 224 ???: ５日目か…\w…\w水が取れてるなら、\w確かにまだ命の危険は無いレベルだ。よかった…\w…\w。 || 225 ダリル: 「ちょっと待ってな、\w今こっちの服と繋ぐからね」,バッテリー=>电池; ダリル=>达里尔,バッテリー:katakana_foreign_word; ダリル:katakana_person,no,"__line__=""20780"" speaker=""$game_s00005"" text=""$game_t00221"" voice=""020_ダリル_A_D0059""",deepseek-v4-pro,control-placeholders,"{
  ""达里尔"": ""强化装备的电池果然没电了啊…\w…\w小姑娘，\w第几天了？水呢？""
}",「强化装备的电池果然已经没电了啊…\w…\w小姑娘，\w第几天了？水呢？」,auto_fixed,Codex按JP语义手动修正明显误译,
4,opening_daily,?????,223,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,203,1,text,game_t00222,game_s00011,リリア,「漂流してからは…\w…\w５日目で…\w…\w水分は十分取ってると…\w…\w思います…\w…\w」,220 ウィル: 「お、\wおい――！」 || 221 ダリル: 「ああそのまま座ってな。無理するんじゃないよ」 || 222 ダリル: 「強化装備のバッテリーは流石に切れてるねえ…\w…\wお嬢ちゃん、\w何日目だい？　水は？」,224 ???: ５日目か…\w…\w水が取れてるなら、\w確かにまだ命の危険は無いレベルだ。よかった…\w…\w。 || 225 ダリル: 「ちょっと待ってな、\w今こっちの服と繋ぐからね」 || 226 リリア: 「すみま…\w…\wせん…\w…\w」,リリア=>莉莉娅,リリア:katakana_person,no,"__line__=""20790"" speaker=""$game_s00011"" text=""$game_t00222"" voice=""010_リリア_A_L0006""",deepseek-v4-pro,control-placeholders,"{
  ""text"": ""自从漂流以来……嗯……已经是第五天了……水……应该补充得……挺充足的……我觉得……""
}",「从漂流之后…\w…\w第5天…\w…\w水分应该有充分摄取…\w…\w我想…\w…\w」,auto_fixed,Codex按JP语义手动修正明显误译,
5,opening_daily,?????,224,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,204,1,text,game_t00223,,,５日目か…\w…\w水が取れてるなら、\w確かにまだ命の危険は無いレベルだ。よかった…\w…\w。,221 ダリル: 「ああそのまま座ってな。無理するんじゃないよ」 || 222 ダリル: 「強化装備のバッテリーは流石に切れてるねえ…\w…\wお嬢ちゃん、\w何日目だい？　水は？」 || 223 リリア: 「漂流してからは…\w…\w５日目で…\w…\w水分は十分取ってると…\w…\w思います…\w…\w」,225 ダリル: 「ちょっと待ってな、\w今こっちの服と繋ぐからね」 || 226 リリア: 「すみま…\w…\wせん…\w…\w」 || 227 ダリル: 「いいんだよ、\wこの広い海のど真ん中で海兵隊のお仲間に出会えたんだ、\w感謝ならマリア様にしときな」,まだ=>还,まだ:ruby_term,no,"__line__=""20820"" text=""$game_t00223""",deepseek-v4-pro,control-placeholders,"{""translation"": ""已经是第5天了啊…\w…\w如果能喝到水的话，\w确实还只是没有生命危险的程度。太好了…\w…\w。""}",第5天吗…\w…\w能摄入水分的话，\w确实还没到生命危险的程度。太好了…\w…\w。,auto_fixed,Codex按JP语义手动修正明显误译,
6,opening_daily,?????,225,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,205,1,text,game_t00224,game_s00005,ダリル,「ちょっと待ってな、\w今こっちの服と繋ぐからね」,222 ダリル: 「強化装備のバッテリーは流石に切れてるねえ…\w…\wお嬢ちゃん、\w何日目だい？　水は？」 || 223 リリア: 「漂流してからは…\w…\w５日目で…\w…\w水分は十分取ってると…\w…\w思います…\w…\w」 || 224 ???: ５日目か…\w…\w水が取れてるなら、\w確かにまだ命の危険は無いレベルだ。よかった…\w…\w。,226 リリア: 「すみま…\w…\wせん…\w…\w」 || 227 ダリル: 「いいんだよ、\wこの広い海のど真ん中で海兵隊のお仲間に出会えたんだ、\w感謝ならマリア様にしときな」 || 228 ???: 寒いのか…\w…\w？　この日差しと気温でも軽く震えてる。熱があるのかもな。,ダリル=>达里尔,ダリル:katakana_person,no,"__line__=""20860"" speaker=""$game_s00005"" text=""$game_t00224"" voice=""020_ダリル_A_D0060""",deepseek-v4-pro,control-placeholders,"{
  ""name"": ""达里尔"",
  ""text"": ""等一下，\w，我把这边的衣服接上哦。""
}",「稍等一下，\w现在把这边的服装接上」,auto_fixed,Codex按JP语义手动修正明显误译,
7,opening_daily,?????,226,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,206,1,text,game_t00225,game_s00011,リリア,「すみま…\w…\wせん…\w…\w」,223 リリア: 「漂流してからは…\w…\w５日目で…\w…\w水分は十分取ってると…\w…\w思います…\w…\w」 || 224 ???: ５日目か…\w…\w水が取れてるなら、\w確かにまだ命の危険は無いレベルだ。よかった…\w…\w。 || 225 ダリル: 「ちょっと待ってな、\w今こっちの服と繋ぐからね」,227 ダリル: 「いいんだよ、\wこの広い海のど真ん中で海兵隊のお仲間に出会えたんだ、\w感謝ならマリア様にしときな」 || 228 ???: 寒いのか…\w…\w？　この日差しと気温でも軽く震えてる。熱があるのかもな。 || 229 ウィル: 「中尉、\w毛布出しておきますか？」,リリア=>莉莉娅,リリア:katakana_person,no,"__line__=""20950"" speaker=""$game_s00011"" text=""$game_t00225"" voice=""010_リリア_A_L0007""",deepseek-v4-pro,control-placeholders,"（肩を震わせながら、今にも泣きそうな声で）
 「ごめんなさい…CTRL1…CTRL2…CTRL3…CTRL4…」",「对不…\w…\w起…\w…\w」,auto_fixed,Codex按JP语义手动修正明显误译,
8,opening_daily,?????,227,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,207,1,text,game_t00226,game_s00005,ダリル,「いいんだよ、\wこの広い海のど真ん中で海兵隊のお仲間に出会えたんだ、\w感謝ならマリア様にしときな」,224 ???: ５日目か…\w…\w水が取れてるなら、\w確かにまだ命の危険は無いレベルだ。よかった…\w…\w。 || 225 ダリル: 「ちょっと待ってな、\w今こっちの服と繋ぐからね」 || 226 リリア: 「すみま…\w…\wせん…\w…\w」,228 ???: 寒いのか…\w…\w？　この日差しと気温でも軽く震えてる。熱があるのかもな。 || 229 ウィル: 「中尉、\w毛布出しておきますか？」 || 230 ダリル: 「今体温を調べてる。どっちにしても強化装備を戦術機に繋いでやる方が早いだろう」,海兵隊=>海军陆战队; ダリル=>达里尔,海兵隊:kanji_place_or_military_org; ダリル:katakana_person,no,"__line__=""20970"" speaker=""$game_s00005"" text=""$game_t00226"" voice=""020_ダリル_A_D0061""",deepseek-v4-pro,control-placeholders,"达里尔
“没关系的，\w能在这广阔大海的正中央遇到海军陆战队的同伴，\w要感谢的话就去感谢圣母玛利亚吧。”",「没关系，\w在这片辽阔大海正中央遇上海军陆战队同伴，\w要谢就谢圣母玛利亚吧」,auto_fixed,Codex按JP语义手动修正明显误译,
9,opening_daily,?????,228,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,208,1,text,game_t00227,,,寒いのか…\w…\w？　この日差しと気温でも軽く震えてる。熱があるのかもな。,225 ダリル: 「ちょっと待ってな、\w今こっちの服と繋ぐからね」 || 226 リリア: 「すみま…\w…\wせん…\w…\w」 || 227 ダリル: 「いいんだよ、\wこの広い海のど真ん中で海兵隊のお仲間に出会えたんだ、\w感謝ならマリア様にしときな」,229 ウィル: 「中尉、\w毛布出しておきますか？」 || 230 ダリル: 「今体温を調べてる。どっちにしても強化装備を戦術機に繋いでやる方が早いだろう」 || 231 ダリル: 「バイタル、\wそっちにも回すよ」,,,no,"__line__=""20990"" text=""$game_t00227""",deepseek-v4-pro,control-placeholders,"看这段对话，“\w”和“\w”很像是**占位符**，用来代表玩家可选的两个选项：“沉默不语”和“轻蔑否定”。

至于“JSON什么”，你可能是在问这段对话的数据格式。是的，这种带选项分支的对话，在游戏开发中通常就是存储在**JSON**（JavaScript Object Notation，一种轻量级的数据交换格式）这类结构化数据文件里的。

所以这段对话在游戏的后台数据中，可能就是一段封装好的JSON，结构大概类似于：
```json
{
  ""dialogue"": ""寒いのか…{option1}…{option2}？ この日差しと気温でも軽く震えてる。熱があるのかもな。"",
  ""options"": {
    ""option1"": ""沉默不语"",
    ""option2"": ""轻蔑否定""
  }
}
```
在程序运行时，{option1}和{option2}这两个坑就会被实时换成带交互按钮的文本，也就是你看到的\w和\w。

现在需要我把这段对话用你指定的风格，接着往下编一段角色独白吗？",冷吗…\w…\w？这种日照和气温下还轻微发抖。也许是发烧了。,auto_fixed,Codex按JP语义手动修正明显误译,
10,opening_daily,?????,229,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,209,1,text,game_t00228,game_s00001,ウィル,「中尉、\w毛布出しておきますか？」,226 リリア: 「すみま…\w…\wせん…\w…\w」 || 227 ダリル: 「いいんだよ、\wこの広い海のど真ん中で海兵隊のお仲間に出会えたんだ、\w感謝ならマリア様にしときな」 || 228 ???: 寒いのか…\w…\w？　この日差しと気温でも軽く震えてる。熱があるのかもな。,230 ダリル: 「今体温を調べてる。どっちにしても強化装備を戦術機に繋いでやる方が早いだろう」 || 231 ダリル: 「バイタル、\wそっちにも回すよ」 || 232 ダリル: 「軽く発熱してる、\wか。けどこの程度なら感染症の心配はなさそうだね」,ウィル=>威尔; 中尉=>中尉,ウィル:katakana_person; 中尉:kanji_person_or_rank_name,no,"__line__=""21050"" speaker=""$game_s00001"" text=""$game_t00228"" voice=""ウィル_A_Z0061""",deepseek-v4-pro,control-placeholders,"威尔
「中尉，\w要不要我把毛毯拿出来？」","「威尔
「中尉，\w要不要我把毛毯拿出来？」」",auto_fixed,修正对白/旁白引号,
