id,jp,old_cn,new_cn
game_t00228,「中尉、\w毛布出しておきますか？」,"「威尔
「中尉，\w要不要我把毛毯拿出来？」」",「中尉，\w要把毛毯拿出来吗？」
game_t00248,「そっちの第２６ってことは…\w…\wフィリピンからかい？　艦は？」,「达里尔：「你那边的第26是指……\w……\w从菲律宾来的？舰艇呢？」」,「你那边是第26的话…\w…\w从菲律宾来的？舰呢？」
game_t00254,「船は海軍の『シアトル』で脱出してたんですが…\w…\w機関部をやられて漂流してたんです」,「我们是乘海军的『西雅图』号逃出来的…\w…\w可是机关部受损，就一直漂流了」,「我们是搭海军的『西雅图』号撤出来的…\w…\w可是机舱受损后一直漂流。」
game_t00259,「…\w…\wとっさに強化装備をつかんで救命艇に飛び乗るのがやっとで…\w…\w」,"「莉莉娅  
「…\w…\w情急之下抓起强化装备，跳上救生艇就已经拼尽了全力…\w…\w」」",「…\w…\w情急之下抓起强化装备，跳上救生艇就已经拼尽全力…\w…\w」
game_t00261,「でも、\w他にも何隻かボートが展開したのは目撃してるんです！　他の救命艇はすぐに離れてはぐれてしまいましたけど…\w…\w」,「莉莉娅：「但是，\w我确实目击到还有其他几艘小船被放下来了！只不过其他的救生艇很快就驶离了，我们也就走散了…\w…\w」」,「但是，\w我确实看到还有其他几艘小艇被放下来了！其他救生艇很快就离开，后来就走散了…\w…\w」
game_t00026,「対地光学映像記録完了、\wＧＰＳ照合に回します。…\w…\w元の座標データじゃ深海層か」,"「少尉  
「对地光学影像记录完毕，\w转入GPS核对。…\w…\w原始坐标数据显示是深海层吗？」」",「对地光学影像记录完毕，\w转入GPS核对。…\w…\w原始坐标数据显示是深海层吗？」
game_t00032,「…\w…\wなんだ？　帰投したらご褒美が欲しいのか？」,「…\w…\w麦克马纳斯中尉…麦克马纳斯吗？返回基地后想要奖励吗？」,「…\w…\w怎么？返航后想要奖励吗？」
game_t00040,「泣き言ではありません。感想です」,「威尔：“这不是牢骚，只是感想。」,「这不是牢骚，只是感想。」
game_t00043,「やれやれ。何を期待してたか知らないがアタシゃ何も変わらん方が安心するね。全ては予想の範疇内、\wなべて世は事もなし、\wってな」,「达里尔：「哎呀呀。我也不知道你在期待什么啦，不过对我来说，一成不变才更安心。一切都在预料之中，\w天下太平，\w就是这么回事啦。」」,「哎呀呀。虽然不知道你在期待什么，不过对我来说，什么都不变才更安心。一切都在预料之中，\w天下太平，\w就是这么回事。」
game_t00046,「諦めたくないんですよ、\w俺はまだ」,「我不想放弃啊，\w我还没有」,「我还不想放弃。」
game_t00052,「ＧＰＳ照合完了。マップデータ更新…\w…\w\n精度問題なし。転送します」,"「威尔
「GPS校对完成。地图数据更新…\w…\w\n精度没有问题。正在传送」」","「GPS校对完成。地图数据更新…\w…\w
精度没有问题。正在传送」"
game_t00065,「…\w…\wそうですね。皮肉な話です」,「威尔：「…\w…\w是啊。真是讽刺呢。」」,「…\w…\w是啊。真是讽刺。」
game_t00067,「ナイヴス２了解」,「威尔：「黑刃2了解」」,「黑刃2了解」
game_t00068,「ＯＫ、\wこの辺りにするぞ」,「OK，\w达里尔，就到这里吧。」,「OK，\w就定在这附近。」
game_t00680,「この編入に対し異議がある場合、\w現状況終了後に文書で提出するように。何か問題はあるかね」,「奥尔斯顿准将：「如果对本次编入有异议，请在\w当前状况结束后以书面形式提交。有什么问题吗？」」,「如果对本次编入有异议，请在\w当前状况结束后以书面形式提交。有什么问题吗？」
game_t00683,「ＪＦＫ乗組員一同、\w貴様を歓迎する！」,「JFK全体乘员，\w欢迎你！」,「JFK全体官兵，\w欢迎你！」
game_t00684,「――は！　リリア・シェルベリ少尉、\w只今を以て着任致します！」,「――是！　莉莉娅·谢尔贝里少尉，\w即刻起正式就任！」,「――是！　莉莉娅·谢尔贝里少尉，\w即刻起正式到任！」
game_t00688,「ならば、\w第三次作戦用の上陸部隊で間違いはないな？」,「奥尔斯顿准将：「那么，\w用于第三次作战的登陆部队，没错吧？」」,「那么，\w用于第三次作战的登陆部队，没错吧？」
game_t00689,「は」,「莉莉娅：“嗯」,「是。」
game_t00690,「よろしい。ならば、\wバビロン作戦について特に説明の必要はないものとして進める」,"「奥尔斯顿准将
「很好。\w那么，关于巴比伦作战，就当作没有特别说明的必要而继续推进。」」",「很好。\w那么，关于巴比伦作战，就当作没有特别说明的必要而继续推进。」
game_t00693,「フリゲート艦『ヴァンデグリフト』とハワイを目指したが、\wウェーク島北北東で大海崩に伴う超規模津波に遭遇。直衛艦を失った」,「奥尔斯顿准将：「与护卫舰『范德格里夫特』一同前往夏威夷，但在\w威克岛东北偏北海域遭遇大海崩引发的超大规模海啸，直属舰船尽失。」」,「与护卫舰『范德格里夫特』一同前往夏威夷，但在\w威克岛东北偏北海域遭遇大海崩引发的超大规模海啸，失去了直接护卫舰。」
