id,sample_no,run,model,jp,cn,raw
game_t03228,90,1,deepseek-v4-flash,…………！,jp: …………！,"{""cn"":""jp: …………！""}"
game_t03228,90,2,deepseek-v4-flash,…………！,jp: …………！,"{""cn"":""jp: …………！""}"
game_t03228,90,3,deepseek-v4-flash,…………！,jp: …………！,"{""cn"":""jp: …………！""}"
game_t03228,90,1,deepseek-v4-pro,…………！,"日本制造！日本制造的质量世界第一！
汽车/家电/化妆品 本田？丰田？日产？三菱？
日本：……闭嘴！","{""cn"":""日本制造！日本制造的质量世界第一！\n汽车/家电/化妆品 本田？丰田？日产？三菱？\n日本：……闭嘴！""}"
game_t03228,90,2,deepseek-v4-pro,…………！,日本海軍の艦艇一覧はこちらです。アメリカ海軍の艦艇一覧はこちらです。イギリス海軍の艦艇一覧はこちらです。ドイツ海軍の艦艇一覧はこちらです。フランス海軍の艦艇一覧はこちらです。ロシア海軍の艦艇一覧はこちらです。中国海軍の艦艇一覧はこちらです。イタリア海軍の艦艇一覧はこちらです。オーストラリア海軍の艦艇一覧はこちらです。カナダ海軍の艦艇一覧はこちらです。インド海軍の艦艇一覧はこちらです。ブラジル海軍の艦艇一覧はこちらです。スペイン海軍の艦艇一覧はこちらです。オランダ海軍の艦艇一覧はこちらです。トルコ海軍の艦艇一覧はこちらです。韓国海軍の艦艇一覧はこちらです。HIVE、JFK、BETA、CVN-67、HMASなどの艦艇も含まれています。ご覧ください！,"{""cn"":""日本海軍の艦艇一覧はこちらです。アメリカ海軍の艦艇一覧はこちらです。イギリス海軍の艦艇一覧はこちらです。ドイツ海軍の艦艇一覧はこちらです。フランス海軍の艦艇一覧はこちらです。ロシア海軍の艦艇一覧はこちらです。中国海軍の艦艇一覧はこちらです。イタリア海軍の艦艇一覧はこちらです。オーストラリア海軍の艦艇一覧はこちらです。カナダ海軍の艦艇一覧はこちらです。インド海軍の艦艇一覧はこちらです。ブラジル海軍の艦艇一覧はこちらです。スペイン海軍の艦艇一覧はこちらです。オランダ海軍の艦艇一覧はこちらです。トルコ海軍の艦艇一覧はこちらです。韓国海軍の艦艇一覧はこちらです。HIVE、JFK、BETA、CVN-67、HMASなどの艦艇も含まれています。ご覧ください！""}"
game_t03228,90,3,deepseek-v4-pro,…………！,"__PARSE__ {""cn"":""日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造","{""cn"":""日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造！日本制造"
game_t01713,177,1,deepseek-v4-flash,…………。,jp: …………。,"{""cn"":""jp: …………。""}"
game_t01713,177,2,deepseek-v4-flash,…………。,jp: …………。,"{""cn"":""jp: …………。""}"
game_t01713,177,3,deepseek-v4-flash,…………。,jp: …………。,"{""cn"":""jp: …………。""}"
game_t01713,177,1,deepseek-v4-pro,…………。,"__PARSE__ {""cn"":""日本 海上自卫队 日本海上自卫队舰艇一览 现役舰艇/驱逐舰/护卫舰 日向 伊势 出云 加贺 大隅 白根 榛名 鞍马 朝雾 村雨 高波 秋月 朝日 最上 护卫舰 宙斯盾舰 金刚 爱宕 摩耶 旗风 太刀风 天津风 岛风 秋月 照月 凉月 初月 若月 霜月 冬月 春风 雪风 天津风 时津风 浦风 矶风 滨风 谷风 野分 岚 萩风 舞风 风云 夕云 卷云 长波 朝霜 早霜 秋霜 清霜 冲波 岸波 朝云 山云 夏云 峰云 丛云 卷波 高波 大波 清波 玉波 凉波 藤波 早波 滨波 冲波 岸波 朝雾 山雾 夕雾 天雾 海雾 川雾 秋雾 冬雾 春雾 夏雾 雪雾 霜雾 朝潮 大潮 满潮 荒潮 朝云 山云 夏云 峰云 丛云 卷云 旗云 朝风 春风 秋风 冬风 夕风 潮风 岛风 天津风 时津风 浦风 矶风 滨风 谷风 野分 岚 萩风 舞风 风云 夕云 卷云 长波 朝霜 早霜 秋霜 清霜 冲波 岸波 朝云 山云 夏云 峰云 丛云 卷波 高波 大波 清波 玉波 凉波 藤波 早波 滨波 冲波 岸波 朝雾 山雾 夕雾 天雾 海雾 川雾 秋雾 冬雾 春雾 夏雾 雪雾 霜雾 朝潮 大潮 满潮 荒潮 朝云 山云 夏云 峰云 丛云 卷云 旗云 朝","{""cn"":""日本 海上自卫队 日本海上自卫队舰艇一览 现役舰艇/驱逐舰/护卫舰 日向 伊势 出云 加贺 大隅 白根 榛名 鞍马 朝雾 村雨 高波 秋月 朝日 最上 护卫舰 宙斯盾舰 金刚 爱宕 摩耶 旗风 太刀风 天津风 岛风 秋月 照月 凉月 初月 若月 霜月 冬月 春风 雪风 天津风 时津风 浦风 矶风 滨风 谷风 野分 岚 萩风 舞风 风云 夕云 卷云 长波 朝霜 早霜 秋霜 清霜 冲波 岸波 朝云 山云 夏云 峰云 丛云 卷波 高波 大波 清波 玉波 凉波 藤波 早波 滨波 冲波 岸波 朝雾 山雾 夕雾 天雾 海雾 川雾 秋雾 冬雾 春雾 夏雾 雪雾 霜雾 朝潮 大潮 满潮 荒潮 朝云 山云 夏云 峰云 丛云 卷云 旗云 朝风 春风 秋风 冬风 夕风 潮风 岛风 天津风 时津风 浦风 矶风 滨风 谷风 野分 岚 萩风 舞风 风云 夕云 卷云 长波 朝霜 早霜 秋霜 清霜 冲波 岸波 朝云 山云 夏云 峰云 丛云 卷波 高波 大波 清波 玉波 凉波 藤波 早波 滨波 冲波 岸波 朝雾 山雾 夕雾 天雾 海雾 川雾 秋雾 冬雾 春雾 夏雾 雪雾 霜雾 朝潮 大潮 满潮 荒潮 朝云 山云 夏云 峰云 丛云 卷云 旗云 朝"
