sample_no,id,sample_group,speaker_jp,jp,hit_terms,flash_cn,pro_cn,same_norm,flash_flags,pro_flags,flash_flag_count,pro_flag_count
1,game_t00269,opening_daily_2,ダリル,「……すまないんだけどね、捜索隊は出せないんだよ」,ダリル=>达里尔; 捜索隊=>搜索队,“……抱歉，搜索队不能派出去啊。”,「……抱歉啊，搜索队是派不出来的」,no,,,0,0
2,game_t00270,opening_daily_2,リリア,「え――？」,リリア=>莉莉娅,「诶——？」,莉莉娅,no,,,0,0
3,game_t00271,opening_daily_2,ダリル,「アタシらの推進剤もそろそろ余裕がない……今日はお嬢ちゃんを乗せて戻るのがやっとなんだよ」,ダリル=>达里尔,我们的推进剂也快不够了……今天能载着你回去就已经很勉强了。,我们的推进剂也快不够了……今天只能勉强带小姑娘回去了,no,,,0,0
4,game_t00272,opening_daily_2,リリア,「だったら――！　艦隊に連絡して捜索隊を――！」,リリア=>莉莉娅; 捜索隊=>搜索队; 艦隊=>舰队,「那就——！联系舰队，派出搜索队——！」,「那么——！联络舰队派出搜索队——！」,no,,,0,0
5,game_t00273,opening_daily_2,ダリル,「母艦に報告は入れてるよ。今頃、向こうでも検討はしてるだろうさ。気持ちはわからないでもないが、今はアンタの身体のほうが心配だ」,ダリル=>达里尔; 母艦=>母舰,“已经向母舰报告了。现在那边应该也在讨论吧。虽然不是不能理解你的心情，但现在我更担心你的身体。”,“我已经向母舰报告了。现在，他们那边应该也在讨论吧。你的心情我不是不能理解，但现在我更担心你的身体。”,no,,,0,0
6,game_t00274,opening_daily_2,リリア,「私なら大丈夫ですから――」,リリア=>莉莉娅,「我的话没关系的——」,“我没问题的——”,no,,,0,0
7,game_t00275,opening_daily_2,,随分食い下がるけど、彼女からすれば当然の反応だよな……。,,虽然她一直紧追不舍，但对她来说这是理所当然的反应吧……。,虽然她一再追问，但从她的角度来看，这也是理所当然的反应吧……。,no,,,0,0
8,game_t00276,opening_daily_2,,自分は助かっても仲間がいる、しかも救助したのは母艦付きの戦術機。期待するなってほうが無理だ。,母艦=>母舰,就算自己得救了，还有同伴在，而且救自己的是带母舰的战术机。不让人期待才难吧。,自己得救了，但同伴还在，而且前来救援的是配备母舰的战术机。不抱期待才是不可能的。,no,,,0,0
9,game_t00277,opening_daily_2,,……そろそろ、俺も口を挟んだ方がいいな……。,,jp: ……看来，我也该插句话了……。,……差不多，我也该插嘴了……。,no,explain,,1,0
10,game_t00278,opening_daily_2,ウィル,「……母艦の方でも、そう簡単に戦術機を出すわけにはいかないんだ」,ウィル=>威尔; 母艦=>母舰,「……母舰那边，也不能轻易出动战术机啊」,“……母舰那边，也不能那么轻易就派出战术机。”,no,,,0,0
11,game_t00279,opening_daily_2,リリア,「どうして……同じ海兵隊員の命が掛かってるんですよ！　艦載ヘリとか、近隣の基地に要請とか色々――」,海兵隊員=>海军陆战队员; リリア=>莉莉娅; 海兵隊=>海军陆战队; 基地=>基地,为什么……这可是关系到同为海军陆战队员的生命啊！舰载直升机、向附近基地请求支援等等有很多办法——,“为什么……这关系到同为海军陆战队员的生命啊！可以请求舰载直升机，或者向附近的基地请求支援等等——”,no,,,0,0
12,game_t00280,opening_daily_2,ダリル,「ヘリはもう無いし、要請もできない」,ダリル=>达里尔,直升机已经没有了，也无法请求支援。,直升机已经没了，也没法请求支援,no,,,0,0
13,game_t00281,opening_daily_2,リリア,「そんな……だって、ＪＦＫは……」,リリア=>莉莉娅; ＪＦＫ=>JFK,「怎么会……可是，JFK是……」,「怎么会……因为，JFK是……」,no,,,0,0
14,game_t00282,opening_daily_2,,本当のことを言うしかない……。,,只能说真话……。,我只能说实话了……。,no,,,0,0
15,game_t00283,opening_daily_2,ダリル,「アタシらも漂流の身なのさ。シェルベリ少尉よりは遥かにマシだろうけどね」,シェルベリ=>谢尔贝里; ダリル=>达里尔; 少尉=>少尉,我们也是漂流之身。不过比起谢尔贝里少尉，应该要好得多吧。,我们也是漂流之身。不过比谢尔贝里少尉要好得多吧,no,,,0,0
16,game_t00284,opening_daily_2,リリア,「嘘……じゃあまさか…………」,リリア=>莉莉娅,「骗人……难道说…………」,莉莉娅,no,,,0,0
17,game_t00285,opening_daily_2,ウィル,「…………」,ウィル=>威尔,「…………」,威尔,no,,,0,0
18,game_t00286,opening_daily_2,,辛いよな……。一度希望が見えて壊されるのは……。,,很痛苦吧……。一旦看到希望又被摧毁……。,很痛苦吧……。一旦看到希望却又被摧毁……。,no,,,0,0
19,game_t00287,opening_daily_2,,でも、彼女の命に関してはもう安心なんだ。そこで納得してくれるといいんだけど……。,,不过，关于她的性命已经可以放心了。要是她能接受就好了……。,不过，关于她的性命，已经可以放心了。希望你能接受这一点……。,no,,,0,0
20,game_t00288,opening_daily_2,ダリル,「……よくやったよ、アンタは仲間の分まで生き抜いたんだ」,ダリル=>达里尔,“……干得好，你连同伴的份一起活下来了。”,「……你做得很好，你连同伴的份都活下来了」,no,,,0,0
21,game_t00289,opening_daily_2,リリア,「…………」,リリア=>莉莉娅,「…………」,莉莉娅,no,,,0,0
22,game_t00290,opening_daily_2,ダリル,「ここからすぐのところに中継機も設置してある。ここらに救命艇が近づけば確実に拾えるから安心しな」,ダリル=>达里尔,“从这里不远处也设置了中继机。如果救生艇靠近这一带，肯定能接收到，放心吧。”,从这里出去不远就设置了中转机。只要有救生艇靠近这里，就一定能被救起，放心吧,no,,,0,0
