category,term,count,suggested_cn,suggestion_status,covered_by_existing_glossary,existing_targets,first_call_order,first_egpack,first_id,first_speaker_jp,first_context_jp,decision,confirmed_translation,note
katakana_person,リリア,156,莉莉娅,沿用已有,yes,莉莉娅,240,020_UAF_DAY91_01.egpack,game_t00239,ウィル,「良かった…\w…\wもう大丈夫ですよ、\wえーと、\wリリア…\w…\w」,,莉莉娅,
katakana_person,ウィル,128,威尔,沿用已有,yes,威尔,29,020_UAF_DAY91_01.egpack,game_t00028,中尉,「悪くない飛び方だったな、\wウィル。滑らかに穏やかに」,,威尔,
kanji_place_or_military_org,隊長,77,队长,沿用已有,yes,队长,105,020_UAF_DAY91_01.egpack,game_t00104,ウィル,「――隊長、\wこれってまさか」,,队长,
kanji_person_or_rank_name,少尉,70,少尉,沿用已有,yes,少尉,40,020_UAF_DAY91_01.egpack,game_t00039,マクマナス中尉,「おやおや、\w泣き言には早すぎだねえ少尉」,,少尉,
latin_or_acronym,ＪＦＫ,59,JFK,沿用已有,yes,JFK,282,020_UAF_DAY91_01.egpack,game_t00281,リリア,「そんな…\w…\wだって、\wＪＦＫは…\w…\w」,,JFK,
katakana_callsign_or_unit,ナイヴス２,53,黑刃2,建议,yes,黑刃2,21,020_UAF_DAY91_01.egpack,game_t00020,少尉,「…\w…\wナイヴス２よりナイヴス１。予定地点到達まで後１２０秒」,,黑刃2,
latin_or_acronym,ＢＥＴＡ,50,BETA,沿用已有,yes,BETA,528,020_UAF_DAY91_01.egpack,game_t00527,,合衆国の力の象徴にして、\wかつてＢＥＴＡに抗した人類の希望。,,BETA,
kanji_place_or_military_org,海兵隊,38,海军陆战队,沿用已有,yes,海军陆战队,214,020_UAF_DAY91_01.egpack,game_t00213,,嘘だろ…\w…\wこの広い海で、\w運良く発見した相手が海兵隊の仲間だって…\w…\w！？,,海军陆战队,
katakana_callsign_or_unit,ナイヴス１,35,黑刃1,建议,yes,黑刃1,21,020_UAF_DAY91_01.egpack,game_t00020,少尉,「…\w…\wナイヴス２よりナイヴス１。予定地点到達まで後１２０秒」,,黑刃1,
kanji_person_or_rank_name,中尉,32,中尉,沿用已有,yes,中尉,32,020_UAF_DAY91_01.egpack,game_t00031,ウィル,「了解です、\wマクマナス中尉。――中尉を扱うように丁寧に心掛けます」,,中尉,
