id,egpack,speaker,jp,before_cn,after_cn,reason
game_t00000,010_UAFプロローグ.egpack,,「移民船団指揮艦『マルドゥーク』のＧＳ機関起動を確認。全移民船団は重力勾配航法に入りました」,「移民船团指挥舰‘马尔杜克’的GS机关启动确认。全移民船团已进入重力梯度航法。」,「已确认移民船团指挥舰‘马尔杜克’的GS机关启动。全移民船团已进入重力梯度航法。」,中文自然度/日式直译修正
game_t00053,020_UAF_DAY91_01.egpack,,「――更新確認。こちらも異常なしだ」,「——更新确认。这边也没有异常。」,「——确认更新。这边也没有异常。」,中文自然度/日式直译修正
game_t00165,020_UAF_DAY91_01.egpack,,「音声が不明瞭ですが、\wそちらの座標は確認しています。現在接近中、\w引き続きこのチャネルで続けてください」,「声音不清晰，但已确认你的坐标。正在接近中，请继续使用此频道。」,「声音不清楚，但已确认你的坐标。我们正在接近，请继续保持这个频道。」,中文自然度/日式直译修正
game_t00174,020_UAF_DAY91_01.egpack,,「隊長、\w対象は繰り返し名乗りを入れて来ています。こっちの声も聞こえてるはずなんですが…\w…\w」,「队长，对象在不断报上名号。应该也能听到我们的声音……」,「队长，对方在不断报上姓名。应该也能听到我们的声音……」,中文自然度/日式直译修正
game_t00202,020_UAF_DAY91_01.egpack,,「――隊長、\w対象船外にて目標本人を直接確認――」,「——队长，在目标船外直接确认目标本人——」,「——队长，已在目标船外直接确认本人——」,中文自然度/日式直译修正
game_t00204,020_UAF_DAY91_01.egpack,,「また目視で船外に生存者１名を確認した。これより保護する」,「又目视确认船外有一名幸存者。现在开始保护。」,「又目视确认船外有一名幸存者。现在实施保护。」,中文自然度/日式直译修正
game_t00254,020_UAF_DAY91_01.egpack,,「船は海軍の『シアトル』で脱出してたんですが…\w…\w機関部をやられて漂流してたんです」,「我们是搭海军的『西雅图』号撤出来的……可是机舱受损后一直漂流。」,「我们是搭海军的『西雅图』号撤出来的……可是动力舱受损后一直漂流。」,中文自然度/日式直译修正
game_t00307,020_UAF_DAY91_01.egpack,,「若干の衰弱はあるがバイタルに問題なし。戦術機にて搬送可能。データ転送する」,「有若干衰弱但生命体征无问题。可用战术机搬运。进行数据传输」,「有轻度衰弱但生命体征无问题。可用战术机搬运。传输数据」,中文自然度/日式直译修正
game_t00308,020_UAF_DAY91_01.egpack,,「――ソルティ・ベース了解、\w医療チームにデータを回しておく。詳細は帰投後に報告せよ」,「——索尔蒂基地收到，医疗团队的数据已转交。详细情况待返航后报告。」,「——索尔蒂基地收到，会把数据转给医疗团队。详细情况返航后报告。」,中文自然度/日式直译修正
game_t00555,020_UAF_DAY91_01.egpack,,起こすのもかわいそうだ。,叫醒他也挺可怜的。,叫醒她也挺可怜的。,中文自然度/日式直译修正
game_t01169,040_UAF_DAY94_01.egpack,,一応どころか、\w俺らの任務はメル無しでは成立しなかったぐらいだけどな。ま、\wあまり調子に乗せないほうがいい。,别说姑且了，我们的任务没有梅尔根本无法成立。不过，还是别让他太得意为好。,别说姑且了，我们的任务没有梅尔根本无法成立。不过，还是别让她太得意为好。,中文自然度/日式直译修正
game_t01216,040_UAF_DAY94_01.egpack,,「…\w…\w少なくとも海兵隊の衛士は、\w米国籍か『国籍取得予定者』限定だよ」,「……至少海军陆战队的卫士，限定美国国籍或‘预定取得国籍者’哦」,「……至少海军陆战队的卫士，只限美国国籍或‘预定入籍者’哦」,中文自然度/日式直译修正
game_t01229,040_UAF_DAY94_01.egpack,,技術教育を与え、\w西洋風の名前をつけてまで、\wメルに豪州国籍を取らせたかったご両親の気持ち。,接受技术教育，甚至取了西式名字，父母就是想让梅尔取得澳洲国籍。,父母甚至给她技术教育、取西式名字，就是想让梅尔拿到澳洲国籍。,中文自然度/日式直译修正
game_t01232,040_UAF_DAY94_01.egpack,,合衆国憲法――その国籍取得条項の『解釈』を変える最高裁判決が次々に出た時、\wほとんどの米国人がそれを支持してた。,合众国宪法——改变其国籍取得条款的“解释”的最高法院判决接连出现时，大多数美国人都支持它。,合众国宪法——改变其入籍条款“解释”的最高法院判决接连出现时，大多数美国人都支持它。,中文自然度/日式直译修正
game_t01399,040_UAF_DAY94_01.egpack,,それに隊長も、\wＪＦＫの台所事情は承知のはずなのになんで続けさせるんだ？,而且队长也是，明明知道JFK的财政状况，为什么还要继续让他干下去？,而且队长也是，明明知道JFK的财政状况，为什么还要让她继续下去？,中文自然度/日式直译修正
game_t01442,040_UAF_DAY94_01.egpack,,…\w…\wいやダリル隊長のことだ、\w最初から一回こうして吐き出させてから止めようとしてたのかもしれない。,……不，是说达里尔队长，也许从一开始就想先让他这样吐出来再阻止。,……不，是说达里尔队长，也许从一开始就想先让她这样吐出来再阻止。,中文自然度/日式直译修正
game_t01474,040_UAF_DAY94_01.egpack,,…\w…\w馬鹿馬鹿しい。,……愚蠢至极。,……太荒唐了。,中文自然度/日式直译修正
game_t01529,040_UAF_DAY94_01.egpack,,「少尉は、\w仮国籍保有者の可能性が、\wある…\w…\w」,「少尉有可能是假国籍持有者……」,「少尉有可能是临时国籍持有者……」,语义修正：仮国籍=临时国籍，不是假国籍
game_t01530,040_UAF_DAY94_01.egpack,,例外は、\w国籍取得予定者の資格で海兵隊衛士になってる奴だ。…\w…\wリリアのように。,例外是，以预定取得国籍者的资格成为海军陆战队卫士的家伙。……像莉莉娅那样。,例外是，以预定入籍者的资格成为海军陆战队卫士的家伙。……像莉莉娅那样。,中文自然度/日式直译修正
game_t01774,050_UAF_DAY95_01.egpack,,「――お願いウィル。相手の出力が弱ってるのかもしれない。高度を取れば光学スキャンだって出来る」,「――拜托了威尔。对方的输出可能减弱了。如果取得高度，连光学扫描也能做到」,「――拜托了威尔。对方的输出可能减弱了。只要升高高度，连光学扫描也能做到」,中文自然度/日式直译修正
game_t01775,050_UAF_DAY95_01.egpack,,…\w…\w確かに、\w高度を取った戦術機がほんの少し進出するだけで、\w通信可能距離は確実に広がる。,……确实，只要取得高度的战术机稍微前进一点，通信可能距离就确实会扩大。,……确实，只要战术机升高高度后稍微前进一点，通信距离就一定会扩大。,中文自然度/日式直译修正
game_t01903,050_UAF_DAY95_01.egpack,,それでも…\w…\w。こいつにとっては仲間なんだよな。,即便如此……对他来说，这家伙也是同伴啊。,即便如此……对她来说，他们也是同伴啊。,中文自然度/日式直译修正
game_t01952,050_UAF_DAY95_01.egpack,,「でも…\w…\w助けられなかったのは事実だ」,「但是……没能救到他是事实」,「但是……没能救下来是事实」,中文自然度/日式直译修正
game_t02480,060_UAF_DAY96_01.egpack,,「艦内の――ある意味で、\w弛緩した雰囲気に対する私の八つ当たりでした」,「这是我对舰内——某种意义上松懈下来的氛围迁怒了」,「我是在迁怒于舰内——某种意义上松懈下来的氛围。」,中文自然度/日式直译修正
game_t02481,060_UAF_DAY96_01.egpack,,弛緩…\w…\w俺たちがどんな気持ちでこの艦を回してきたかも知らないで…\w…\w。,松弛……不知道我们是以怎样的心情来操控这艘舰的……,松懈……你根本不知道我们是以怎样的心情维持这艘舰的……。,中文自然度/日式直译修正
game_t02483,060_UAF_DAY96_01.egpack,,「ほう、\w弛緩とは大きく出たね」,「哦，松弛这种话也说得出口啊」,「哦，松懈这种话也说得出口啊」,中文自然度/日式直译修正
game_t02672,060_UAF_DAY96_01.egpack,,「それでも俺は…\w…\wあいつを死なせられない…\w…\w」,「即便如此，我也……不能让他死……」,「即便如此，我也……不能让她死……」,中文自然度/日式直译修正
game_t02677,060_UAF_DAY96_01.egpack,,あいつを死なせたくない？,不想让他死吗？,不想让她死吗？,中文自然度/日式直译修正
game_t03153,090_UAF_DAY99_01.egpack,,「…\w…\wですが隊長。水平線越えということは弾着観測も満足にできないんじゃないでしょうか」,「……但是队长。越过水平线的话，弹着观测也不能满意地进行吧」,「……但是队长。越过水平线的话，弹着观测也没法好好进行吧」,中文自然度/日式直译修正
game_t03180,090_UAF_DAY99_01.egpack,,「光線属種の存在が確認された場合、\w第二波は再度ＡＬ弾攻撃。敵迎撃による重金属雲展開後、\w戦術機部隊は約１５キロ進出して光線属種の掃討にかかる」,「确认存在激光属种的情况下，第二波再次进行AL弹攻击。敌方迎击展开重金属云后，战术机部队推进约15公里，开始扫荡激光属种。」,「如果确认存在激光属种，第二波再次进行AL弹攻击。敌方迎击展开重金属云后，战术机部队推进约15公里，开始扫荡激光属种。」,中文自然度/日式直译修正
game_t03253,090_UAF_DAY99_01.egpack,,「敵前衛、\w距離８０キロ地点到達確認」,「敌前卫，距离80公里地点到达确认」,「敌前卫已到达距离80公里地点」,中文自然度/日式直译修正
game_t03267,090_UAF_DAY99_01.egpack,,「よろしい！　光線属種は存在しないものと判断する。――モード・オート・スペシャル！　ありったけの誘導弾を叩き込め！」,「好！判断为不存在激光属种。――自动特殊模式！把所有的诱导弹都打进去！」,「好！判定不存在激光属种。――自动特殊模式！把所有的诱导弹都打进去！」,中文自然度/日式直译修正
game_t03269,090_UAF_DAY99_01.egpack,,「――ＨＱより全戦術機部隊。敵集団に光線属種の存在は認められず。繰り返す、\w敵集団に光線属種は存在しない」,「——HQ呼叫全战术机部队。敌集团中未确认到激光属种的存在。重复，敌集团中不存在激光属种」,「——HQ呼叫全战术机部队。敌群中未确认到激光属种。重复，敌群中不存在激光属种」,中文自然度/日式直译修正
game_t03302,090_UAF_DAY99_01.egpack,,「全弾着弾！　被撃墜率０％。やはり光線属種の存在は認められず！」,「全弹命中！被击坠率0%。果然未确认到激光属种！」,「全弹命中！被击落率0%。果然未确认到激光属种！」,中文自然度/日式直译修正
game_t03346,090_UAF_DAY99_01.egpack,,「格納庫装備班長より報告、\w戦術機用兵装の甲板展開は順調に推移中。推進剤増槽の搬出も開始」,「格纳库装备班长报告，战术机用兵装的甲板展开顺利进行中。推进剂增槽的搬出也已开始」,「机库装备班长报告，战术机兵装正在顺利部署到甲板。推进剂增槽也已开始搬出」,中文自然度/日式直译修正
game_t03405,090_UAF_DAY99_02.egpack,,「この位置での戦線維持は不可能と判断する。母艦に戻って戦線を再構築すべきだ！」,「判断在此位置无法维持战线。应该返回母舰重新构建战线！」,「判定此位置无法维持战线。应该返回母舰重新构建战线！」,中文自然度/日式直译修正
game_t03418,090_UAF_DAY99_02.egpack,,「バスター１了解。作戦は即時開始する」,「破坏者1了解。作战即时开始」,「破坏者1了解。作战立即开始」,中文自然度/日式直译修正
game_t03420,090_UAF_DAY99_02.egpack,,「Ｂ小隊から撤収だ！　続いてＣ小隊、\wＡ小隊！」,「B小队，撤退！接着C小队、A小队！」,「从B小队开始撤退！接着C小队、A小队！」,中文自然度/日式直译修正
game_t03421,090_UAF_DAY99_02.egpack,,「殿は海兵隊が引き受けた！　安心して母艦で補給しな！」,「殿下由海军陆战队接手了！放心在母舰上补给吧！」,「断后由海军陆战队接下了！放心回母舰补给吧！」,误译修正：殿=断后，不是殿下
game_t03422,090_UAF_DAY99_02.egpack,,最後衛任務…\w…\w。,最后卫任务……,断后任务……。,中文自然度/日式直译修正
game_t03456,090_UAF_DAY99_02.egpack,,「突撃級の一群が防衛ラインを突破！　本艦に向けて接近中！」,「突击级的一群突破了防线！正在向本舰接近中！」,「一群突击级突破防线！正向本舰接近！」,中文自然度/日式直译修正
game_t03471,090_UAF_DAY99_02.egpack,,「被害状況確認！」,「确认受害情况！」,「确认受损情况！」,中文自然度/日式直译修正
game_t03508,090_UAF_DAY99_03.egpack,,「馬鹿な…\w…\w！　なぜ要塞級の接近に気づかなかった…\w…\w！」,「愚蠢……！　为什么没有察觉到要塞级的接近……！」,「不可能……！　为什么没有察觉到要塞级接近……！」,中文自然度/日式直译修正
game_t03512,090_UAF_DAY99_03.egpack,,「馬鹿な…\w…\wあれは、\wシドニー…\w…\w？」,「愚蠢……那是……悉尼……？」,「不可能……那是……悉尼……？」,中文自然度/日式直译修正
game_t03558,090_UAF_DAY99_03.egpack,,「突撃級４、\w本艦に向け接近！」,「突击级4艘，正在接近本舰！」,「突击级4只，正在接近本舰！」,中文自然度/日式直译修正
game_t03561,090_UAF_DAY99_03.egpack,,「――損傷確認！」,「——损伤确认！」,「——确认损伤！」,中文自然度/日式直译修正
game_t03567,090_UAF_DAY99_03.egpack,,「馬鹿な…\w…\w何故だ、\w原子炉の放熱は奴らにとっても致命傷のはずだ…\w…\w！」,「愚蠢……为什么，反应堆的散热对他们来说也应该是致命的……！」,「不可能……为什么，反应堆散热对它们来说也应该是致命的……！」,中文自然度/日式直译修正
